# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     87.00     -79.85       2.99       0.00       0.00       0.00       0.96       0.09   60.001  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_GA200\2rh1_m1\gold_soln_2rh1_m1_8.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_2rh1.pdb L_2rh1.pdb 1'
     74.31     -66.31       2.96       0.00       0.00       0.00       0.55       0.15   111.999  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_GA200\3d4s_m1\gold_soln_3d4s_m1_4.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_3d4s.pdb L_3d4s.pdb 1'
     67.50     -64.23       2.00       0.00       0.00       0.00       1.48       0.22   20.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_GA200\3ny8_m1\gold_soln_3ny8_m1_3.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_3ny8.pdb L_3ny8.pdb 1'
     72.31     -70.25       0.99       0.00       0.00       0.00       0.58       0.25   40.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_GA200\3ny9_m1\gold_soln_3ny9_m1_4.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_3ny9.pdb L_3ny9.pdb 1'
     74.26     -67.16       2.87       0.00       0.00       0.00       0.88       0.24   49.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_GA200\3nya_m1\gold_soln_3nya_m1_3.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_3nya.pdb L_3nya.pdb 1'
     81.01     -74.73       2.99       0.00       0.00       1.58       0.88       0.65   88.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_GA200\4lde_m1\gold_soln_4lde_m1_9.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_4lde.pdb L_4lde.pdb 1'
     74.25     -66.46       3.27       0.00       0.00       1.34       0.78       0.27   219.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_GA200\4ldl_m1\gold_soln_4ldl_m1_2.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_4ldl.pdb L_4ldl.pdb 1'
     51.01     -41.22       3.46       0.00       0.00       0.00       0.29       0.00   56.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_GA200\4ldo_m1\gold_soln_4ldo_m1_1.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_4ldo.pdb L_4ldo.pdb 1'
     83.82     -80.37       2.00       0.00       0.00       1.99       2.22       3.89   1122.001  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_GA200\4qkx_m1\gold_soln_4qkx_m1_89.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_4qkx.pdb L_4qkx.pdb 1'
    100.07    -102.16       2.00       0.00       0.00       5.32       2.02       1.28   1725.000  'C:/Users/student/Desktop/Dokowanko/GoldOut_beta2_GA200\6mxt_m1\gold_soln_6mxt_m1_94.mol2'  'C:\Users\porto\OneDrive\projekt\beta2\ligandy\L_6mxt.pdb L_6mxt.pdb 1'
